iter	Passed	Remaining
0	2	2910
1	5	2840
2	8	2805
3	11	2835
4	14	2823
5	16	2790
6	20	2894
7	23	2859
8	25	2782
9	28	2804
10	31	2787
11	33	2768
12	35	2724
13	39	2767
14	41	2735
15	44	2714
16	46	2662
17	49	2699
18	53	2767
19	57	2804
20	58	2749
21	61	2732
22	64	2722
23	66	2719
24	69	2706
25	71	2690
26	74	2670
27	77	2673
28	79	2659
29	81	2642
30	84	2637
31	85	2599
32	87	2565
33	88	2522
34	90	2492
35	91	2453
36	93	2423
37	94	2388
38	95	2357
39	96	2318
40	97	2280
41	98	2251
42	99	2222
43	100	2188
44	101	2159
45	103	2140
46	104	2113
47	105	2087
48	106	2063
49	107	2036
50	108	2013
51	109	1992
52	110	1970
53	111	1947
54	112	1932
55	113	1914
56	114	1896
57	116	1884
58	117	1866
59	118	1849
60	119	1832
61	119	1813
62	120	1798
63	122	1786
64	123	1770
65	123	1749
66	124	1732
67	125	1716
68	126	1703
69	127	1691
70	128	1678
71	129	1666
72	130	1663
73	132	1656
74	133	1641
75	133	1625
76	134	1610
77	134	1595
78	135	1580
79	136	1566
80	136	1552
81	137	1538
82	138	1530
83	139	1520
84	140	1511
85	141	1503
86	142	1494
87	143	1486
88	144	1478
89	145	1470
90	146	1465
91	147	1457
92	148	1449
93	149	1442
94	150	1432
95	151	1426
96	152	1419
97	153	1410
98	154	1403
99	155	1397
100	155	1387
101	156	1381
102	157	1375
103	158	1369
104	159	1363
105	160	1355
106	161	1350
107	162	1344
108	163	1338
109	164	1333
110	165	1325
111	166	1319
112	167	1315
113	168	1309
114	169	1304
115	170	1299
116	171	1293
117	172	1287
118	173	1282
119	174	1277
120	175	1272
121	176	1267
122	177	1262
123	178	1258
124	179	1253
125	180	1249
126	181	1244
127	182	1240
128	183	1238
129	184	1236
130	185	1232
131	187	1231
132	188	1227
133	189	1222
134	190	1218
135	191	1214
136	192	1211
137	193	1208
138	194	1204
139	195	1200
140	196	1197
141	197	1193
142	198	1189
143	199	1184
144	200	1181
145	201	1176
146	202	1172
147	203	1169
148	204	1166
149	204	1161
150	205	1157
151	207	1155
152	208	1152
153	209	1149
154	210	1146
155	211	1143
156	212	1140
157	213	1137
158	214	1134
159	215	1130
160	216	1127
161	217	1125
162	218	1122
163	219	1120
164	221	1120
165	223	1121
166	223	1117
167	224	1112
168	225	1108
169	226	1103
170	227	1100
171	228	1097
172	229	1094
173	230	1092
174	231	1089
175	232	1086
176	233	1083
177	234	1080
178	235	1078
179	236	1075
180	237	1072
181	238	1069
182	239	1067
183	240	1064
184	241	1062
185	242	1059
186	243	1057
187	243	1053
188	244	1050
189	245	1048
190	246	1045
191	247	1043
192	248	1040
193	249	1038
194	250	1034
195	251	1032
196	252	1029
197	253	1028
198	254	1026
199	255	1023
200	257	1022
201	257	1018
202	258	1016
203	259	1012
204	260	1010
205	261	1007
206	262	1005
207	263	1002
208	264	1000
209	265	998
210	266	995
211	267	993
212	268	991
213	269	989
214	270	986
215	271	984
216	272	982
217	273	980
218	274	978
219	275	976
220	276	973
221	277	971
222	278	969
223	279	967
224	280	965
225	281	963
226	282	961
227	283	959
228	284	957
229	285	955
230	286	953
231	287	951
232	288	949
233	289	947
234	290	945
235	291	943
236	292	941
237	293	939
238	294	937
239	295	935
240	296	932
241	297	930
242	298	928
243	299	926
244	299	924
245	300	922
246	301	920
247	302	918
248	303	916
249	304	914
250	305	912
251	306	910
252	307	909
253	308	907
254	309	905
255	310	903
256	311	901
257	312	899
258	313	898
259	314	896
260	315	894
261	316	892
262	317	890
263	318	889
264	319	887
265	320	885
266	321	883
267	322	881
268	323	879
269	324	877
270	325	875
271	326	873
272	327	871
273	328	869
274	329	867
275	330	866
276	330	863
277	331	861
278	332	860
279	333	858
280	334	856
281	335	855
282	336	853
283	337	851
284	338	850
285	339	848
286	340	846
287	341	845
288	342	843
289	343	841
290	344	839
291	345	837
292	346	836
293	347	834
294	348	832
295	349	831
296	350	829
297	351	828
298	352	826
299	353	824
300	354	822
301	355	821
302	356	819
303	357	817
304	358	816
305	359	814
306	360	813
307	361	811
308	362	809
309	363	808
310	364	806
311	365	804
312	366	803
313	367	802
314	368	802
315	369	800
316	370	799
317	371	797
318	373	796
319	374	794
320	375	793
321	376	792
322	377	790
323	378	789
324	379	787
325	380	786
326	381	784
327	382	783
328	383	781
329	383	779
330	385	778
331	385	776
332	386	774
333	387	773
334	388	771
335	389	769
336	390	768
337	391	766
338	392	764
339	393	762
340	394	761
341	395	760
342	396	758
343	397	757
344	398	755
345	399	754
346	400	753
347	401	752
348	402	751
349	403	749
350	404	748
351	405	746
352	406	745
353	407	744
354	409	743
355	410	741
356	411	740
357	412	738
358	413	737
359	414	736
360	415	734
361	416	733
362	417	731
363	418	730
364	419	729
365	420	727
366	421	726
367	422	724
368	422	723
369	423	721
370	424	720
371	425	719
372	426	717
373	427	716
374	428	714
375	429	713
376	430	711
377	431	710
378	432	709
379	433	707
380	434	705
381	435	704
382	436	703
383	437	701
384	438	700
385	439	699
386	440	697
387	441	696
388	442	695
389	443	693
390	444	692
391	445	690
392	446	689
393	447	687
394	448	686
395	449	684
396	450	683
397	450	682
398	451	680
399	452	678
400	453	677
401	454	675
402	455	674
403	456	673
404	457	671
405	458	670
406	459	669
407	460	667
408	461	666
409	462	665
410	462	663
411	463	662
412	464	660
413	465	659
414	467	658
415	468	658
416	471	658
417	472	657
418	473	656
419	474	655
420	475	653
421	476	652
422	477	651
423	478	649
424	479	648
425	481	648
426	482	647
427	483	646
428	484	644
429	485	643
430	486	642
431	487	640
432	488	639
433	489	638
434	490	637
435	491	635
436	492	634
437	493	633
438	494	631
439	495	630
440	496	629
441	497	627
442	498	626
443	499	625
444	500	624
445	501	623
446	502	621
447	503	620
448	504	618
449	505	617
450	506	616
451	507	614
452	508	613
453	509	612
454	510	610
455	510	609
456	511	608
457	512	606
458	513	605
459	514	604
460	515	603
461	516	601
462	517	600
463	518	599
464	519	598
465	520	596
466	521	595
467	522	594
468	523	592
469	524	591
470	525	590
471	526	588
472	527	587
473	528	586
474	529	585
475	530	583
476	531	582
477	532	581
478	533	580
479	534	578
480	535	577
481	536	576
482	537	575
483	538	573
484	539	572
485	540	571
486	541	570
487	542	568
488	543	567
489	544	566
490	545	565
491	546	563
492	547	562
493	548	561
494	548	560
495	549	558
496	551	557
497	552	556
498	553	555
499	554	554
500	555	553
501	556	552
502	557	551
503	558	549
504	559	548
505	560	547
506	561	546
507	562	544
508	563	543
509	564	542
510	565	541
511	566	539
512	567	538
513	568	537
514	569	536
515	570	535
516	571	533
517	572	532
518	573	531
519	574	530
520	575	528
521	576	527
522	577	526
523	578	525
524	579	524
525	580	522
526	581	521
527	582	520
528	583	519
529	584	518
